Tram 3,Tram 9,Tram 16 CD/CS,Tram 15,Tram 13,Tram 4,Tram 7,Tram 10,Metro 1 ,M2,SFM 1,SFM 2,SFM 3,SFM 4,SFM 6,SFM 7,SFM A,Train 1,Train 2,Train 3
573|574|598,3426,592|620|3445|3447,531,439|2387,3219,409|471|472,350,8208,M21,S11,S21,S31|39|40|253|3492|8224|M213|T11|T21,S17|S24|S41|S614|S712|3233|3234,S61,S71,SA1,S31|39|40|253|3492|8224|M213|T11|T21,S31|39|40|253|3492|8224|M213|T11|T21,T23|T31
217|568|570,408|3525,619|621,532|533,440|441,3239|3240|3241,474|475,351|352,8209,822|M22,S12|S46|S69|S77,S22,S32,S16|S25|S42|S613|S711|354|1406|M223,S62,S72,SA2,S15|S26|S43|S612|S710|SA15|27|28|8220|8221|T12|T22|T32,S15|S26|S43|S612|S710|SA15|27|28|8220|8221|T12|T22|T32,S15|S26|S43|S612|S710|SA15|27|28|8220|8221|T12|T22|T32
212|213,413|3524,618|622,534|535,442|443,3237|3238,476|477,1404,8210,M23,S13|S45|S610|S78,S18|S23,S33,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,S63,S73,SA3,T13,T23|T31,T33
207|208,3599|3600,617|623,536|539,444|445,3233|3234 ,478|479|563|604|635|M215,354|1406,8211,M24,S14|S27|S44|S611|S79|8230,S17|S24|S41|S614|S712|3233|3234,S34,S14|S27|S44|S611|S79|8230,S64,S74,SA4,,,T34
205|206|359,3496 3522,378|379|616|624|M211,538|541,448|449,3228|3229 ,605|634,356|1402 ,8212,M25,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,S16|S25|S42|S613|S711|354|1406|M223,S35,S13|S45|S610|S78,S65,S48|S75,SA5,,,T35
203|204,179|180|3497,427|428,544|545,450|451,3226|3227 ,606|633,358|1408 ,8213,M26,S16|S25|S42|S613|S711|354|1406|M223,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,S36,S12|S46|S69|S77,S66,S47|S76,SA6,,,
84|199|200|201|202,181|182,425|426,546|547,452|453,3224|3225 ,607|632,360|1410 ,8214,M27,S17|S24|S41|S614|S712|3233|3234,S14|S27|S44|S611|S79|8230,S37,S47|S76,S67,S12|S46|S69|S77,SA7,,,
197|198,183|184,614|625|1112|1914,548|549,456|457,3222|3223,777|1948,423,8215,388|389|M28,S18|S23,S28,S38,S48|S75,S68,S13|S45|S610|S78,SA8,,,
195|196,185|186,613|626,592|620|3445|3447,458|459|3012|3013,3216|3217 ,1945|1946,361|362,8216,M29,S19,S29,S39,S49,S12|S46|S69|S77,S14|S27|S44|S611|S79|8230,SA9,,,
193|194,3010|3011,612|627,619|621,460|461,1285|3218 ,S31|39|40|253|3492|8224|M213|T11|T21,1547|3016 ,8217,380|381|M210,S110,S210,S310,S410,S13|S45|S610|S78,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,SA10,,,
191|192,458|459|3012|3013,611|628,618|622,462|463,231|237,35|36|525|537|8223,363|364,597|644|8218,378|379|616|624|M211,S111,S211,S311,S411,S14|S27|S44|S611|S79|8230,S16|S25|S42|S613|S711|354|1406|M223,SA11,,,
189|190,456|457,610|629,617|623,25|373|374|466|951,232|233,33|34,365|366,8219,M212,S112,S212,S312,S412,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,S17|S24|S41|S614|S712|3233|3234,SA12,,,
187|188,597|644|8218,609|630,378|379|616|624|M211,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,234|235,31|32|561|562|8222,367|368,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,S31|39|40|253|3492|8224|M213|T11|T21,S113,S213,S313,S413,S16|S25|S42|S613|S711|354|1406|M223,,SA13,,,
185|186,595|646,607|632,427|428,467|468,238|239,29|30,369|370,31|32|561|562|8222,M214,,S214,S314,S414,S17|S24|S41|S614|S712|3233|3234,,SA14,,,
183|184,3286|3287,606|633,425|426,246|247|469|470,236|1216 ,467|468,372|2384 ,35|36|525|537|8223,478|479|563|604|635|M215,,S215,S315,S415,,,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,,,
181|182,557|558,605|634,256|257,409|471|472,240|241,246|247|469|470,25|373|374|466|951,S31|39|40|253|3492|8224|M213|T11|T21,M216,,,S316,S416,,,,,,
179|180|3497,31|32|561|562|8222,478|479|563|604|635|M215,35|36|525|537|8223,474|475,84|199|200|201|202,242|243,S15|S26|S43|S612|S710|SA15|27|28|8220|8221,8225,M217,,,S317,S417,,,,,,
177|178,33|34,603|636,1682|2010 ,476|477,242|243,203|204,29|30,8226,M218,,,S318,,,,,,,
175|176,35|36|525|537|8223,602|637,248|249,478|479|563|604|635|M215,244|245,205|206|359,31|32|561|562|8222,8227,M219,,,S319,,,,,,,
173|174,S31|39|40|253|3492|8224|M213|T11|T21,601|638,246|247|469|470,2427,246|247|469|470,357,375|377,8228,M220,,,S320,,,,,,,
171|172,1945|1946,640|2620,409|471|472,480,248|249,409|471|472,376|670,8229,M221,,,,,,,,,,
169|170,777|1948,205|206|359,474|475,,250,,378|379|616|624|M211,S14|S27|S44|S611|S79|8230,M222,,,,,,,,,,
167|168,631|1949,203|204,476|477,,S31|39|40|253|3492|8224|M213|T11|T21,,380|381|M210,,M223,,,,,,,,,,
166,609|630,84|199|200|201|202,478|479|563|604|635|M215,,1114|1220,,382|383,,,,,,,,,,,,
165,610|629,197|198,565|566,,614|625|1112|1914,,384|385,,,,,,,,,,,,
,611|628,195|196,564|567,,1913|2527,,386|387,,,,,,,,,,,,
,612|627,193|194,217|568|570,,2523|2526,,388|389|M28,,,,,,,,,,,,
,2064,191|192,571|572,,1105|2528,,390|391,,,,,,,,,,,,
,3400,189|190,573|574|598,,272|2530,,392|393,,,,,,,,,,,,
,,187|188,577|578,,274|2532,,394|395,,,,,,,,,,,,
,,3010|3011,579|580,,2533|2534,,396|3521,,,,,,,,,,,,
,,458|459|3012|3013,581|582,,276|2536,,3379|3519,,,,,,,,,,,,
,,456|457,583|584,,2537|2538,,805|3368|3373,,,,,,,,,,,,
,,597|644|8218,585|586,,278|2540,,806|807,,,,,,,,,,,,
,,595|646,587|588,,280|2542,,810|811,,,,,,,,,,,,
,,594|648,589|590,,1370|1372,,816|817,,,,,,,,,,,,
,,593|649,591,,282|803,,818|819,,,,,,,,,,,,
,,,,,805|3368|3373,,820,,,,,,,,,,,,
,,,,,3365|3366 ,,822|M22,,,,,,,,,,,,
,,,,,3363|3364 ,,,,,,,,,,,,,,
,,,,,3361|3362 ,,,,,,,,,,,,,,
,,,,,3359|3360 ,,,,,,,,,,,,,,
,,,,,3358,,,,,,,,,,,,,,
,,,,,285,,,,,,,,,,,,,,
